X,Y,FID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY
-15050395.1552506,7921939.69509893,1962,19470,19080,TENAKEE SPRINGS,US,57.783333,-135.2,57,47,N,135,12,W,CP08,17300,V,CN,F,N,N, , , , , ,M, ,12, , , , , , , ,Y, , , , , , , , , , ,Y,Y, ,Y,Y, , , , , , , , , , , , , , ,N,N,N,N,N, , , , , , , , , 
-13694152.6924192,6196045.61739593,1963,17920,16000,FRIDAY HARBOR,US,48.533333,-123.016667,48,32,N,123,1,W,CP07,18434,V,CN,E,N,N,N, , , ,J,N,N,5, , , ,Y, , ,Y, , , , , , , , ,Y,Y, ,Y,Y, ,Y,Y, , , ,Y,Y, , ,Y,Y, , ,Y, , ,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,C, ,S
612257.199363005,8351656.62016492,1964,23340,20620,LEIRVIK,NO,59.783333,5.5,59,47,N,5,30,E,182,43323,V,CN,G,N,N,N,Y,Y, ,A,N,P,1,M, , ,N,N,Y,N,Y, , , ,Y, ,Y, ,Y,Y,Y,Y,Y, ,Y,Y, , , ,Y,Y, ,N, , , , , , , , , , , , , ,Y, , , , ,C,S,S
-15020709.9577057,7866462.35420751,1965,19480,19080,CHATHAM,US,57.516667,-134.933333,57,31,N,134,56,W,CP08,17338,V,CN,F,N,N,Y, , , ,E,K,N,11, , , , , , , , , , , , , , , , , , ,Y,Y, ,Y,Y, , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y,N,Y, , , 
1469417.27847121,9831379.30453182,1966,22920,20620,MOSJOEN,NO,65.833333,13.2,65,50,N,13,12,E,182,43202,V,RN,E,Y,N,N,Y,Y,N,K,N,N,2,M,Y, ,Y,N,Y, ,Y, , , ,Y,Y,Y, ,Y,Y,Y, ,Y,Y,Y,Y, ,Y, ,Y,Y, ,N,Y,Y,N,N,N,Y,Y,Y,Y, , , ,Y,Y,Y,Y,Y,Y,C, ,S
-15033697.2316316,7856105.55303394,1967,19490,19080,TODD,US,57.466667,-135.05,57,28,N,135,3,W,CP08,17338,V,CN,F, , , , , , , ,L, ,12, , , , , , , ,Y, , , , , , , , , , , , , ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
-13734969.8390434,5801741.78584796,1968,16880,16000,WESTPORT,US,46.133333,-123.383333,46,8,N,123,23,W,CP07,18523,V,RN,E,N,N,N,Y,Y,L, , , ,7, , , , , ,Y, ,Y, , , , , , , ,Y, ,Y, , , ,Y, , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, , , , , 
1384072.3355297,9831379.30453182,1969,22940,20620,TJOTTA,NO,65.833333,12.433333,65,50,N,12,26,E,182,43202,V,CN,F,N,N,N,Y,N,N,N,M, ,0,M, , ,N,N,Y, , ,Y,Y, , , , , ,Y, , , , , ,Y,Y, ,Y, , , , ,N, , , , , , , , , , , , , , , , , , , , , 
-13684876.0681864,5793713.51668036,1970,16890,16000,RAINIER,US,46.083333,-122.933333,46,5,N,122,56,W,CP07,18524,V,RN,E,N,N,N,Y,Y,L, ,M, ,0, , , , , ,Y, ,Y, , , , , , , ,Y, , ,Y, ,Y,Y, , , , ,N,Y, , , , , , , , , ,Y,Y,N,N,N,Y,Y,Y,Y,N,N,C, ,S
1358097.78767794,9732381.12146966,1971,22990,20620,BRONNOYSUND,NO,65.466667,12.2,65,28,N,12,12,E,182,43204,V,CN,G,N,N,N,Y,Y, ,J,N,O,2,M, , ,Y,N,Y,N,Y, ,Y, ,Y,Y,Y, ,Y,Y,Y, ,Y, ,Y,Y, ,Y, ,Y, , ,N,Y, , , , , ,Y, , , , , ,Y,Y,Y, ,Y,Y,C, , 
-13684876.0681864,5801741.78584796,1972,16900,16000,LONGVIEW,US,46.133333,-122.933333,46,8,N,122,56,W,CP07,18524,S,RN,E,N,N,N,Y,Y,J, ,K,L,3,L, , ,Y,N,Y, ,Y, ,Y, ,Y, , , ,Y, , ,Y, ,Y,Y, , , , ,Y,N, ,Y,Y,Y, ,Y,Y, , ,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,C, , 
-13675599.4439537,5783020.46765154,1973,16920,16000,KALAMA,US,46.016667,-122.85,46,1,N,122,51,W,CP07,18524,V,RN,E, , , ,Y,Y,J, , , ,3,L, , , , , , ,Y, , , , , , , ,Y, , , , ,Y,Y, , , , ,N,N, , , , , , , , , ,Y,Y,N,N,N,Y,Y, , , , , , , 
1358097.78767794,9705622.64037299,1974,23020,20620,BERG,NO,65.366667,12.2,65,22,N,12,12,E,182,43204,V,CN,F,N,N,N,Y,N,N,N,K, ,0, , , , ,N,Y, , , , , , , , , , , , , , , ,Y, , , , , , , ,N, , , , , , , , , , , , ,Y,Y,Y,Y,N,N,N, , 
-13670033.469414,5759008.1443025,1975,16930,16000,ST HELENS,US,45.866667,-122.8,45,52,N,122,48,W,CP07,18524,V,RN,E,N,N,N,Y,Y,M, ,L, ,2, , , , , , , ,Y, , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , ,Y,Y,Y,Y, , , , , 
